#.t	.Temp_air	
#d	degC
4.6493056	-2
4.6527778	-2
4.65625	-2
4.6597222	-2
4.6631944	-2
4.6666667	-2
4.6701389	-2
4.6736111	-2
4.6770833	-2
4.6805556	-2
4.6840278	-2
4.6875	-2
4.6909722	-2
4.6944444	-2
4.6979167	-2
4.7013889	-2
4.7048611	-2
4.7083333	-2
4.7118056	-2
4.7152778	-2
4.71875	-2
4.7222222	-2
4.7256944	-2
4.7291667	-2
4.7326389	-2
4.7361111	-2
4.7395833	-2
4.7430556	-2
4.7465278	-2
4.75	-2
4.7534722	-2
4.7569444	-2
4.7604167	-2
4.7638889	-2
4.7673611	-2
4.7708333	-2
4.7743056	-2
4.7777778	-2
4.78125	-2
4.7847222	-2
4.7881944	-2
4.7916667	-2
4.7951389	-2
4.7986111	-2
4.8020833	-2
4.8055556	-2
4.8090278	-2
4.8125	-2
4.8159722	-2
4.8194444	-2
4.8229167	-2
4.8263889	-2
4.8298611	-2
4.8333333	-2
4.8368056	-2
4.8402778	-2
4.84375	-2
4.8472222	-2
4.8506944	-2
4.8541667	-2
4.8576389	-2
4.8611111	-2
4.8645833	-2
4.8680556	-2
4.8715278	-2
4.875	-2
4.8784722	-2
4.8819444	-2
4.8854167	-2
4.8888889	-2
4.8923611	-2
4.8958333	-2
4.8993056	-2
4.9027778	-2
4.90625	-2
4.9097222	-2
4.9131944	-2
4.9166667	-2
4.9201389	-2
4.9236111	-2
4.9270833	-2
4.9305556	-2
4.9340278	-2
4.9375	-2
4.9409722	-2
4.9444444	-2
4.9479167	-2
4.9513889	-2
4.9548611	-2
4.9583333	-2
4.9618056	-2
4.9652778	-2
4.96875	-2
4.9722222	-2
4.9756944	-2
4.9791667	-2
4.9826389	-2
4.9861111	-2
4.9895833	-2
4.9930556	-2
4.9965278	-2
5	-2
5.0034722	-2
5.0069444	-2
5.0104167	-2
5.0138889	-2
5.0173611	-2
5.0208333	-2
5.0243056	-2
5.0277778	-2
5.03125	-2
5.0347222	-2
5.0381944	-2
5.0416667	-2
5.0451389	-2
5.0486111	-2
5.0520833	-2
5.0555556	-2
5.0590278	-2
5.0625	-2
5.0659722	-2
5.0694444	-2
5.0729167	-2
5.0763889	-2
5.0798611	-2
5.0833333	-2
5.0868056	-2
5.0902778	-2
5.09375	-2
5.0972222	-2
5.1006944	-2
5.1041667	-2
5.1076389	-2
5.1111111	-2
5.1145833	-2
5.1180556	-2
5.1215278	-2
5.125	-2
5.1284722	-2
5.1319444	-2
5.1354167	-2
5.1388889	-2
5.1423611	-2
5.1458333	-2
5.1493056	-2
5.1527778	-2
5.15625	-2
5.1597222	-2
5.1631944	-2
5.1666667	-2
5.1701389	-2
5.1736111	-2
5.1770833	-2
5.1805556	-2
5.1840278	-2
5.1875	-2
5.1909722	-2
5.1944444	-2
5.1979167	-2
5.2013889	-2
5.2048611	-2
5.2083333	-2
5.2118056	-2
5.2152778	-2
5.21875	-2
5.2222222	-2
5.2256944	-2
5.2291667	-2
5.2326389	-2
5.2361111	-2
5.2395833	-2
5.2430556	-2
5.2465278	-2
5.25	-2
5.2534722	-2
5.2569444	-2
5.2604167	-2
5.2638889	-2
5.2673611	-2
5.2708333	-2
5.2743056	-2
5.2777778	-2
5.28125	-2
5.2847222	-2
5.2881944	-2
5.2916667	-2
5.2951389	-2
5.2986111	-2
5.3020833	-2
5.3055556	-2
5.3090278	-2
5.3125	-2
5.3159722	-2
5.3194444	-2
5.3229167	-2
5.3263889	-2
5.3298611	-2
5.3333333	-2
5.3368056	-2
5.3402778	-2
5.34375	-2
5.3472222	-2
5.3506944	-2
5.3541667	-2
5.3576389	-2
5.3611111	-2
5.3645833	-2
5.3680556	-2
5.3715278	-2
5.375	-2
5.3784722	-2
5.3819444	-2
5.3854167	-2
5.3888889	-2
5.3923611	-2
5.3958333	-2
5.3993056	-2
5.4027778	-2
5.40625	-2
5.4097222	-2
5.4131944	-2
5.4166667	-2
5.4201389	-2
5.4236111	-2
5.4270833	-2
5.4305556	-2
5.4340278	-2
5.4375	-2
5.4409722	-2
5.4444444	-2
5.4479167	-2
5.4513889	-2
5.4548611	-2
5.4583333	-2
5.4618056	-2
5.4652778	-2
5.46875	-2
5.4722222	-2
5.4756944	-2
5.4791667	-2
5.4826389	-2
5.4861111	-2
5.4895833	-2
5.4930556	-2
5.4965278	-2
5.5	-2
5.5034722	-2
5.5069444	-2
5.5104167	-2
5.5138889	-2
5.5173611	-2
5.5208333	-2
5.5243056	-2
5.5277778	-2
5.53125	-2
5.5347222	-2
5.5381944	-2
5.5416667	-2
5.5451389	-2
5.5486111	-2
5.5520833	-2
5.5555556	-2
5.5590278	-2
5.5625	-2
5.5659722	-2
5.5694444	-2
5.5729167	-2
5.5763889	-2
5.5798611	-2
5.5833333	-2
5.5868056	-2
5.5902778	-2
5.59375	-2
5.5972222	-2
5.6006944	-2
5.6041667	-2
5.6076389	-2
5.6111111	-2
5.6145833	-2
5.6180556	-2
5.6215278	-2
5.625	-2
5.6284722	-2
5.6319444	-2
5.6354167	-2
5.6388889	-2
5.6423611	-2
5.6458333	-2
5.6493056	-2
5.6527778	-2
5.65625	-2
5.6597222	-2
5.6631944	-2
5.6666667	-2
5.6701389	-2
5.6736111	-2
5.6770833	-2
5.6805556	-2
5.6840278	-2
5.6875	-2
5.6909722	-2
5.6944444	-2
5.6979167	-2
5.7013889	-2
5.7048611	-2
5.7083333	-2
5.7118056	-2
5.7152778	-2
5.71875	-2
5.7222222	-2
5.7256944	-2
5.7291667	-2
5.7326389	-2
5.7361111	-2
5.7395833	-2
5.7430556	-2
5.7465278	-2
5.75	-2
5.7534722	-2
5.7569444	-2
5.7604167	-2
5.7638889	-2
5.7673611	-2
5.7708333	-2
5.7743056	-2
5.7777778	-2
5.78125	-2
5.7847222	-2
5.7881944	-2
