#.t	Pressure
#d	hPa
1.7986111	103500
1.8020833	103500
1.8055556	103500
1.8090278	103500
1.8125	103500
1.8159722	103500
1.8194444	103500
1.8229167	103500
1.8263889	103500
1.8298611	103500
1.8333333	103500
1.8368056	103500
1.8402778	103500
1.84375	103500
1.8472222	103500
1.8506944	103500
1.8541667	103500
1.8576389	103500
1.8611111	103500
1.8645833	103500
1.8680556	103500
1.8715278	103500
1.875	103500
1.8784722	103500
1.8819444	103500
1.8854167	103500
1.8888889	103500
1.8923611	103500
1.8958333	103500
1.8993056	103500
1.9027778	103500
1.90625	103500
1.9097222	103500
1.9131944	103500
1.9166667	103500
1.9201389	103500
1.9236111	103500
1.9270833	103500
1.9305556	103500
1.9340278	103500
1.9375	103500
1.9409722	103500
1.9444444	103500
1.9479167	103500
1.9513889	103500
1.9548611	103500
1.9583333	103500
1.9618056	103500
1.9652778	103500
1.96875	103500
1.9722222	103500
1.9756944	103500
1.9791667	103500
1.9826389	103500
1.9861111	103500
1.9895833	103500
1.9930556	103500
1.9965278	103500
2	103100
2.0034722	103100
2.0069444	103100
2.0104167	103100
2.0138889	103100
2.0173611	103100
2.0208333	103100
2.0243056	103100
2.0277778	103100
2.03125	103100
2.0347222	103100
2.0381944	103100
2.0416667	103100
2.0451389	103100
2.0486111	103100
2.0520833	103100
2.0555556	103100
2.0590278	103100
2.0625	103100
2.0659722	103100
2.0694444	103100
2.0729167	103100
2.0763889	103100
2.0798611	103100
2.0833333	103100
2.0868056	103100
2.0902778	103100
2.09375	103100
2.0972222	103100
2.1006944	103100
2.1041667	103100
2.1076389	103100
2.1111111	103100
2.1145833	103100
2.1180556	103100
2.1215278	103100
2.125	103100
2.1284722	103100
2.1319444	103100
2.1354167	103100
2.1388889	103100
2.1423611	103100
2.1458333	103100
2.1493056	103100
2.1527778	103100
2.15625	103100
2.1597222	103100
2.1631944	103100
2.1666667	103100
2.1701389	103100
2.1736111	103100
2.1770833	103100
2.1805556	103100
2.1840278	103100
2.1875	103100
2.1909722	103100
2.1944444	103100
2.1979167	103100
2.2013889	103100
2.2048611	103100
2.2083333	103100
2.2118056	103100
2.2152778	103100
2.21875	103100
2.2222222	103100
2.2256944	103100
2.2291667	103100
2.2326389	103100
2.2361111	103100
2.2395833	103100
2.2430556	103100
2.2465278	103100
2.25	103100
2.2534722	103100
2.2569444	103100
2.2604167	103100
2.2638889	103100
2.2673611	103100
2.2708333	103100
2.2743056	103100
2.2777778	103100
2.28125	103100
2.2847222	103100
2.2881944	103100
2.2916667	103100
2.2951389	103100
2.2986111	103100
2.3020833	103100
2.3055556	103100
2.3090278	103100
2.3125	103100
2.3159722	103100
2.3194444	103100
2.3229167	103100
2.3263889	103100
2.3298611	103100
2.3333333	103100
2.3368056	103100
2.3402778	103100
2.34375	103100
2.3472222	103100
2.3506944	103100
2.3541667	103100
2.3576389	103100
2.3611111	103100
2.3645833	103100
2.3680556	103100
2.3715278	103100
2.375	103100
2.3784722	103100
2.3819444	103100
2.3854167	103100
2.3888889	103100
2.3923611	103100
2.3958333	103100
2.3993056	103100
2.4027778	103100
2.40625	103100
2.4097222	103100
2.4131944	103100
2.4166667	103100
2.4201389	103100
2.4236111	103100
2.4270833	103100
2.4305556	103100
2.4340278	103100
2.4375	103100
2.4409722	103100
2.4444444	103100
2.4479167	103100
2.4513889	103100
2.4548611	103100
2.4583333	103100
2.4618056	103100
2.4652778	103100
2.46875	103100
2.4722222	103100
2.4756944	103100
2.4791667	103100
2.4826389	103100
2.4861111	103100
