#.t	NH4	PO4	Q	CODt	CODs	TSS
#d	g/m3	g/m3	m3/h	g/m3	g/m3	g/m3
221.72775	42.06542969	6.211	0	0	0	0
221.73122	42.11425781	6.138	0	0	0	0
221.73469	41.95556641	6.196	0	0	0	0
221.73816	41.80908203	6.177810484	0	0	0	0
221.74164	41.73583984	6.159620968	0	0	0	0
221.74511	41.54459763	6.141379032	0	0	0	0
221.74858	41.52018356	6.123189516	0	0	0	0
221.75205	41.55273438	6.105	0	0	0	0
221.75553	41.38183594	6.083	0	0	0	0
221.759	41.45507813	6.083	0	0	0	0
221.76247	41.30859375	6.083	0	0	0	0
221.76594	41.47949219	6.083	0	0	0	0
221.76941	41.62597656	6.090995392	0	0	0	0
221.77289	41.52832031	6.098990783	0	0	0	0
221.77636	41.47949219	6.107009217	0	0	0	0
221.77983	41.43066406	6.115004608	0	0	0	0
221.7833	41.69921875	6.123	0	0	0	0
221.78678	41.50390625	6.13265739	0	0	0	0
221.79025	41.74804688	6.142314779	0	0	0	0
221.79372	41.47949219	6.152	0	0	0	0
221.79719	41.57714844	6.157283539	0	0	0	0
221.80066	41.57104492	6.162567078	0	0	0	0
221.80414	41.55273438	6.167850617	0	0	0	0
221.80761	41.47949219	6.173149383	0	0	0	0
221.81108	41.52832031	6.178432922	0	0	0	0
221.81455	41.57714844	6.183716461	0	0	0	0
221.81802	41.55273438	6.189	0	0	0	0
221.8215	41.6015625	6.190332054	0	0	0	0
221.82497	41.6015625	6.191667946	0	0	0	0
221.82844	41.57714844	6.193	0	0	0	0
221.83191	41.796875	6.204	0	0	0	0
221.83539	41.66259766	6.211	0	0	0	0
221.83886	41.62597656	6.192631478	0	0	0	0
221.84233	41.50390625	6.174315739	0	0	0	0
221.8458	41.52832031	6.156	0	0	0	0
221.84927	41.57714844	6.15375162	0	0	0	0
221.85275	41.33300781	6.15150324	0	0	0	0
221.85622	41.35742188	6.14924838	0	0	0	0
221.85969	41.47949219	6.147	0	0	0	0
221.86316	41.47949219	6.14475162	0	0	0	0
221.86664	41.34521484	6.14250324	0	0	0	0
221.87011	41.29231644	6.14024838	0	0	0	0
221.87358	41.2109375	6.138	0	0	0	0
221.87705	41.06445313	6.136666667	0	0	0	0
221.88052	41.02783203	6.135333333	0	0	0	0
221.884	41.11328125	6.134	0	0	0	0
221.88747	40.94238281	6.130494964	0	0	0	0
221.89094	40.94238281	6.127	0	0	0	0
221.89441	40.625	6.068	0	0	0	0
221.89789	40.77148438	6.149	0	0	0	0
221.90136	40.69824219	6.068	0	0	0	0
221.90483	40.60058594	6.079	0	0	0	0
221.9083	40.64941406	6.08224766	0	0	0	0
221.91177	40.30761719	6.08549532	0	0	0	0
221.91525	40.234375	6.088742981	0	0	0	0
221.91872	40.234375	6.092	0	0	0	0
221.92219	40.234375	6.09524766	0	0	0	0
221.92566	40.24047852	6.09849532	0	0	0	0
221.92914	40.25878906	6.101742981	0	0	0	0
221.93261	38.37890625	6.105	0	0	0	0
221.93608	38.74511719	6.115328373	0	0	0	0
221.93955	39.63012695	6.125656745	0	0	0	0
221.94302	39.74609375	6.135985118	0	0	0	0
221.9465	39.69726563	6.14631349	0	0	0	0
221.94997	39.94140625	6.156671627	0	0	0	0
221.95344	40.06347656	6.167	0	0	0	0
221.95691	40.50292969	6.1632527	0	0	0	0
221.96039	40.25878906	6.1595054	0	0	0	0
221.96386	40.30761719	6.1557473	0	0	0	0
221.96733	40.45410156	6.152	0	0	0	0
221.9708	40.58837891	6.248	0	0	0	0
221.97427	40.72265625	6.238009597	0	0	0	0
221.97775	40.79589844	6.228019194	0	0	0	0
221.98122	40.69824219	6.218	0	0	0	0
221.98469	40.68603516	6.22	0	0	0	0
221.98816	40.64941406	6.222	0	0	0	0
221.99163	40.79589844	6.233	0	0	0	0
221.99511	40.96679688	6.171	0	0	0	0
221.99858	40.91796875	6.193	0	0	0	0
222.00205	40.8203125	6.215	0	0	0	0
222.00552	40.8203125	6.237	0	0	0	0
222.009	40.8203125	6.237	0	0	0	0
222.01247	40.78369141	6.237	0	0	0	0
222.01594	41.015625	6.237	0	0	0	0
222.01941	40.9362793	6.246	0	0	0	0
222.02288	40.95458984	6.255	0	0	0	0
222.02636	41.015625	6.262347409	0	0	0	0
222.02983	41.11328125	6.269673704	0	0	0	0
222.0333	41.16210938	6.277	0	0	0	0
222.03677	41.08886719	6.248	0	0	0	0
222.04025	41.08886719	6.253796659	0	0	0	0
222.04372	41.2109375	6.259610023	0	0	0	0
222.04719	41.06445313	6.265406682	0	0	0	0
222.05066	41.2109375	6.271203341	0	0	0	0
222.05413	40.94238281	6.277	0	0	0	0
222.05761	40.94238281	6.282813364	0	0	0	0
222.06108	40.83251953	6.288610023	0	0	0	0
222.06455	40.8203125	6.294406682	0	0	0	0
222.06802	41.00748825	6.300203341	0	0	0	0
222.0715	41.08886719	6.306	0	0	0	0
222.07497	41.08886719	6.288	0	0	0	0
222.07844	41.23535156	6.321	0	0	0	0
222.08191	41.13769531	6.32149976	0	0	0	0
222.08538	41.2109375	6.32199952	0	0	0	0
222.08886	41.33300781	6.32250072	0	0	0	0
222.09233	41.33300781	6.32300048	0	0	0	0
222.0958	41.24755859	6.32350024	0	0	0	0
222.09927	41.30859375	6.324	0	0	0	0
222.10275	41.23535156	6.324	0	0	0	0
222.10622	41.40625	6.324	0	0	0	0
222.10969	41.44287109	6.324	0	0	0	0
222.11316	41.50390625	6.324	0	0	0	0
222.11663	41.43880081	6.324	0	0	0	0
222.12011	41.40625	6.320326296	0	0	0	0
222.12358	41.38183594	6.316663148	0	0	0	0
222.12705	41.43066406	6.313	0	0	0	0
222.13052	41.45507813	6.3115	0	0	0	0
222.134	41.26790237	6.31	0	0	0	0
222.13747	41.23535156	6.35	0	0	0	0
222.14094	41.29638672	6.355796659	0	0	0	0
222.14441	41.23535156	6.361593318	0	0	0	0
222.14788	41.27197266	6.367389977	0	0	0	0
222.15136	41.19873047	6.373203341	0	0	0	0
222.15483	41.13769531	6.379	0	0	0	0
222.1583	40.99121094	6.3865	0	0	0	0
222.16177	41.08886719	6.394	0	0	0	0
222.16524	41.06445313	6.368	0	0	0	0
222.16872	40.89355469	6.365	0	0	0	0
222.17219	40.86914063	6.371	0	0	0	0
222.17566	40.8203125	6.377	0	0	0	0
222.17913	40.55175781	6.383	0	0	0	0
222.18261	40.69824219	6.39	0	0	0	0
222.18608	40.625	6.42	0	0	0	0
222.18955	40.60058594	6.31	0	0	0	0
222.19302	40.46630859	6.387	0	0	0	0
222.19649	40.45410156	6.372	0	0	0	0
222.19997	40.40527344	6.372	0	0	0	0
222.20344	40.33203125	6.321	0	0	0	0
222.20691	40.28320313	6.334320537	0	0	0	0
222.21038	40.30761719	6.347641075	0	0	0	0
